NOME,AUSENCIA,MATEMATICA,PORTUGUES,BIOLOGIA,RESULTADO
Raquel Samila Ciean,8,7.1,6.3,7.6,APROVADO
Wanda de Martins,8,6.9,7.5,6.6,APROVADO
Maria Manuela Degoze,8,6.9,6.9,7.7,APROVADO
Maria de Trindade,8,6.9,6.3,6.9,APROVADO
Yolanda da Silva,8,6.9,6.2,7.5,APROVADO
Kelly Madalena Góis Buarque de Barros,8,6.8,7.0,7.3,APROVADO
Lisa de Pascoal Kikinako,8,6.8,6.5,6.9,APROVADO
Carla Gomes,8,6.7,6.9,6.8,APROVADO
Wanda de Figueira,8,6.7,6.7,6.7,APROVADO
Marcos Naves de Gimenes,8,6.6,7.3,7.4,APROVADO
Israel Everton de Souza,8,6.6,7.1,7.5,APROVADO
Fábio Moacyr Pires de Freitas,8,6.6,6.9,6.8,APROVADO
Felícia do Prado,8,6.6,6.3,6.7,APROVADO
Quésia Amélia Ribeiro,8,6.6,6.0,6.1,APROVADO
Olavo de Parreira,8,6.5,7.3,6.6,APROVADO
Raul Laerte Schmidt,8,6.5,7.2,7.8,APROVADO
Abílio Tlumcascemman,8,6.5,6.6,6.9,APROVADO
Meire Valeska Eolppa,8,6.5,6.6,6.3,APROVADO
Lana Morita de Leão Gutierrez,8,6.5,6.5,7.5,APROVADO
Lana de Lacerda,8,6.5,6.5,7.0,APROVADO
Tina de Fraga,8,6.5,6.4,7.0,APROVADO
Ana de Oliveira dos Santos Quiroaman,8,6.5,6.4,6.2,APROVADO
Elaine Cleuza de Vieira Pejum,8,6.5,6.2,6.8,APROVADO
Alessandra Gilmara Gutierrez Phonjeson,8,6.5,6.0,6.9,APROVADO
Davi de Alvim,8,6.4,7.0,6.4,APROVADO
Sheila de São Pedro da Paraíba Berapi,8,6.4,6.6,7.8,APROVADO
Marielle Isagane,8,6.4,6.6,6.4,APROVADO
Brenda Luara Minultocho,8,6.3,6.6,7.8,APROVADO
Matheus Marcelo dos Santos,8,6.3,6.6,6.2,APROVADO
Daniel Sazuho de Martins,8,6.3,6.5,6.5,APROVADO
Renato de Castro Apugri,8,6.3,6.4,7.1,APROVADO
Ciro Everton de Souza,8,6.3,6.0,7.2,APROVADO
Reginaldo Enuscinson da Silva,8,6.2,7.8,8.0,APROVADO
Ali Raí Weiss,8,6.2,7.0,6.0,APROVADO
Alessandre Filipe da Silva Noswypramman,8,6.2,6.4,8.3,APROVADO
Wilson de Iglesias,8,6.2,6.4,6.8,APROVADO
Gustavo Ângelo de Sales Aclal,8,6.2,6.4,6.1,APROVADO
Victor Adônis dos Santos Kaka,8,6.2,6.0,6.5,APROVADO
Eliel Igor Werner Franco de Alves Júnior,8,6.1,6.4,6.9,APROVADO
Regina da Rocha de Bezerra Naves,8,6.1,6.2,6.9,APROVADO
Fabíola Somaku,8,6.9,7.3,5.6,REPROVADO
Altair Portugal do Rio,8,6.9,6.9,5.9,REPROVADO
Eulália Tatiane Nernem,8,6.9,6.8,5.4,REPROVADO
Mariano Jairo Arorn Coutinho,8,6.9,6.6,5.6,REPROVADO
Max Fabiano Gomes,8,6.9,6.2,5.1,REPROVADO
Fernanda Rafaela de Moura Sasmoan,8,6.9,5.8,5.0,REPROVADO
Eric de Oliveira Dutra,8,6.8,6.7,5.0,REPROVADO
Joel Rodrigues de Ortiz,8,6.8,6.6,5.1,REPROVADO
Augusto da Conceição,8,6.8,6.3,5.3,REPROVADO
Hilda Cavalcante,8,6.8,6.3,5.0,REPROVADO
Rodrigo de Gonçalves,8,6.8,5.7,5.2,REPROVADO
Gabriela Célia Negrão,8,6.8,5.0,0.0,REPROVADO
Suzy Clarasov de Vargas,8,6.8,4.6,6.5,REPROVADO
Sabrina Suzy de Fraga,8,6.7,6.9,5.4,REPROVADO
Rosana Karin da Silva,8,6.7,6.8,5.9,REPROVADO
Reginaldo Tomáz de Bueno,8,6.7,6.8,5.0,REPROVADO
Magali Quênia Pesorn Branco Guerra,8,6.7,6.7,5.6,REPROVADO
Demilson Jaziel de Arruda,8,6.7,6.7,5.3,REPROVADO
Liane Cleuza de Peres,8,6.7,6.7,5.2,REPROVADO
Júlio André Izal de Lins Gavyrnvic,8,6.7,6.6,5.8,REPROVADO
Denis de Holanda,8,6.7,6.6,5.3,REPROVADO
Ana Marielle da Nóbrega,8,6.7,6.6,4.8,REPROVADO
Zeca Tomáz Rosier de Angola Jardim,8,6.7,6.4,5.8,REPROVADO
Lívia dos Santos Preto Avezi,8,6.7,6.4,5.2,REPROVADO
Otaviano dos Santos,8,6.7,6.3,5.6,REPROVADO
Jack Julivic,8,6.7,6.1,5.7,REPROVADO
Alessandra Alana Schmidt,8,6.7,6.1,5.4,REPROVADO
Isabela de Lins Blydacruylvic,8,6.7,5.9,5.5,REPROVADO
Mikaella Trodocholvuer de Iglesias,8,6.7,5.8,7.3,REPROVADO
Cícero Paulo de Braga Ounson Yuukuko,8,6.7,5.7,0.0,REPROVADO
Álvaro dos Santos Prifinson,8,6.7,5.4,5.4,REPROVADO
Vinícius do Paraná da Silva Júnior,8,6.7,5.3,6.8,REPROVADO
Simone da Silva,8,6.7,5.1,5.1,REPROVADO
Damião Ricardo de Ferraz Barroso,8,6.7,4.9,7.2,REPROVADO
Beto de Barbosa Evle,8,6.6,7.1,5.8,REPROVADO
Violeta Rafaela de Junqueira Vocau,8,6.6,6.8,4.6,REPROVADO
Quitéria Wilma de Almeida,8,6.6,6.7,5.7,REPROVADO
Eva Voly Ifun,8,6.6,6.6,5.2,REPROVADO
Talita Elisângela Vouson,8,6.6,6.6,5.0,REPROVADO
Jonathan dos Pinhais,8,6.6,6.5,5.0,REPROVADO
Olavo Fabrício de Souza Júnior,8,6.6,6.5,4.8,REPROVADO
Margarete Ozus de Souza Payuni,8,6.6,6.5,4.6,REPROVADO
Ísis dos Reis,8,6.6,6.2,5.7,REPROVADO
Zeca de Castro,8,6.6,6.2,5.2,REPROVADO
Luzia Viuyjason de Godoy,8,6.6,6.1,5.9,REPROVADO
Marina Patrícia da Cruz Floernmeson,8,6.6,6.1,5.0,REPROVADO
Bóris Lerrin,8,6.6,6.1,5.0,REPROVADO
Leopoldo Cristiano de Barros,8,6.6,6.0,5.7,REPROVADO
Laís de Souza Pimenta,8,6.6,6.0,5.3,REPROVADO
Ana Kamaae,8,6.6,5.4,5.6,REPROVADO
Mariano Kauê Aefi,8,6.6,4.5,5.1,REPROVADO
Jeniffer Mikaella Valente de Santana,8,5.9,7.0,5.5,REPROVADO
Ederson Werner Júnior,8,5.9,6.6,7.0,REPROVADO
Priscila Juliana Zoyakiha de Arruda,8,5.9,6.4,5.2,REPROVADO
Joaquim Benjamin Weber,8,5.9,6.4,4.6,REPROVADO
Lidiane de Brito Iboamno,8,5.9,6.3,5.6,REPROVADO
Valquíria Lana Etinrisvic de Souza,8,5.9,6.2,5.4,REPROVADO
Cleuza de Simões,8,5.9,6.1,5.6,REPROVADO
Laura de Souza,8,5.9,6.1,5.0,REPROVADO
Breno da Silva,8,5.9,6.0,6.8,REPROVADO
Willian Gustavo de Meireles Marinho Castelo Branco Júnior,8,5.9,6.0,5.5,REPROVADO
Cíntia Josilda de Assis Ierndoi,8,5.9,5.9,5.1,REPROVADO
Edilene de Bragança Terceiro,8,5.9,5.8,5.4,REPROVADO
Suzana de Pereira,8,5.9,5.8,5.2,REPROVADO
Murilo Nivaldo de Ferreira Golmo Oeguan,8,5.9,5.7,5.1,REPROVADO
Barnabé José Chomtrozi do Nascimento,8,5.9,5.5,6.2,REPROVADO
Leni de Teixeira,8,5.9,5.2,5.2,REPROVADO
Cecília Jéssica de Maia,8,5.9,5.1,4.9,REPROVADO
Vera Trevisan,8,5.9,4.9,4.6,REPROVADO
Estevão Anderson Guerra de Alcântara Eprevic,8,5.9,4.8,4.9,REPROVADO
Jesus Félix de Souza Olni,8,5.9,4.1,6.1,REPROVADO
Fernanda Leni Oalirul,8,5.8,7.4,6.8,REPROVADO
Reginaldo João Gunapaga,8,5.8,7.1,7.1,REPROVADO
Israel Roger de Guimarães,8,5.8,6.6,5.8,REPROVADO
Josiane Lena Prates,8,5.8,6.3,4.9,REPROVADO
Joelma Nair de Magalhães Noceman,8,5.8,6.1,5.4,REPROVADO
Júlio Zeca Dias,8,5.8,6.0,5.7,REPROVADO
Tiago Hilton Husyrnman Ximenes Uoniason,8,5.8,6.0,5.5,REPROVADO
Alexandre Guvu,8,5.8,5.8,5.6,REPROVADO
Suely Luciana Prinivic de Souza,8,5.8,5.7,5.1,REPROVADO
Eliomar Elisa Ueckiman de Alencar,8,5.8,5.7,4.8,REPROVADO
Denise Isabela Nisobu Igreja,8,5.8,5.6,6.2,REPROVADO
Flaviana da Silva Prirosaoan,8,5.8,5.5,0.0,REPROVADO
Daniela Eva Goaer de Cerqueira,8,5.8,5.3,6.1,REPROVADO
Jaqueline Aparecida de Sampaio,8,5.8,5.3,5.9,REPROVADO
Raí Diego Oemcivic,8,5.8,5.2,5.0,REPROVADO
Ivanete Maha da Cunha,8,5.8,5.2,0.0,REPROVADO
Clarice da Silva de Alvim,8,5.8,5.1,5.9,REPROVADO
Toninho Fabrício da Silva de Noronha,8,5.8,5.0,5.3,REPROVADO
Elói dos Santos da Silva,8,5.8,4.9,5.6,REPROVADO
Solange Catarina dos Santos de Chaves,8,5.8,4.2,7.2,REPROVADO
Lili Puvlern dos Santos,8,5.8,4.1,4.7,REPROVADO
Eugênio Aldo Heigileã de Medeiros,8,5.7,6.9,0.0,REPROVADO
Brenda Maria Nofubo de Amorim Mourão,8,5.7,6.4,4.5,REPROVADO
Carlos Albano de Alencar Júnior,8,5.7,6.2,5.4,REPROVADO
Eleriane Uaevic,8,5.7,6.1,5.5,REPROVADO
Telma Laura Nucarner,8,5.7,6.0,5.3,REPROVADO
Sérgio de Oliveira Meoão Neto,8,5.7,5.9,6.3,REPROVADO
Everton Camilo Moreno,8,5.7,5.9,5.3,REPROVADO
Josiel Mercado Rodrigues,8,5.7,5.6,5.4,REPROVADO
Mário de Oliveira da Silva Júnior,8,5.7,5.4,5.8,REPROVADO
Daniel Semopuhi,8,5.7,5.4,4.6,REPROVADO
Camilo Marinho Choaoão,8,5.7,5.3,5.3,REPROVADO
Luan de Muniz Mime da Silva,8,5.7,5.2,6.5,REPROVADO
Ayrton Martinez,8,5.7,5.2,5.8,REPROVADO
Kauê Leo de Arruda Igreja,8,5.7,5.2,5.3,REPROVADO
Junior Tadosope,8,5.7,5.2,4.6,REPROVADO
Suzanne de Barbosa Pinhão Góis,8,5.7,5.0,6.8,REPROVADO
Elisete Weiss de Souza,8,5.7,4.5,5.9,REPROVADO
Gilmara de Guimarães Mendes,8,5.7,4.3,5.7,REPROVADO
Danilo do Nascimento,8,5.6,6.4,6.0,REPROVADO
Vinícius de Maia,8,5.6,6.3,4.8,REPROVADO
Ederson Quico de Abreu,8,5.6,6.1,5.2,REPROVADO
Úrsula Gomes dos Reis,8,5.6,6.1,5.2,REPROVADO
Benjamin Oliver Gepezão Guedes,8,5.6,6.0,5.3,REPROVADO
Ezequiel Pinto,8,5.6,6.0,4.6,REPROVADO
Lígia Maria Nolevic de Pimentel,8,5.6,5.9,5.3,REPROVADO
Marco Benedito Jangada Eskolias,8,5.6,5.9,5.2,REPROVADO
Margarida Andressa de Souza da Paixão,8,5.6,5.8,6.4,REPROVADO
Cássia Yauru Schmidt de Munhoz,8,5.6,5.6,5.6,REPROVADO
Heitor Paulo Lopes,8,5.6,5.6,0.0,REPROVADO
Isabel Sâmia de Rezende Frias,8,5.6,5.5,6.3,REPROVADO
Abigail Viviane de Rezende Clisvi,8,5.6,5.5,5.8,REPROVADO
Vânia Helena de Arruda,8,5.6,5.2,5.1,REPROVADO
Celso Ney Zepopuze,8,5.6,5.0,5.0,REPROVADO
Mariano Álvaro Nauzobi,8,5.6,4.9,4.8,REPROVADO
Inácio Ymorn Vopaman,8,5.6,4.7,6.8,REPROVADO
Cauê Abyni Yafunado,8,5.6,4.7,6.0,REPROVADO
Francisco de Bragança Bezo,8,5.6,4.6,6.2,REPROVADO
Paula Danielle Chibatonu de Peixoto Gala,8,5.6,4.3,4.6,REPROVADO
Joyce Eleriane Pimenta,8,5.6,4.3,0.0,REPROVADO
Omar Sérgio de Abreu Vady Aolbyra,8,5.6,4.0,0.0,REPROVADO
Sandra Amélia Kruge Zachi de Viana,8,4.9,5.6,5.5,REPROVADO
Gisele de Antunes da Silva Noda,8,4.9,5.4,0.0,REPROVADO
Elaine Kiara Arrealman,8,4.9,5.1,5.7,REPROVADO
Fabiana Lisa Osreosov,8,4.9,5.1,5.3,REPROVADO
Pedro Micael de Vasconcelos,8,4.9,4.8,5.2,REPROVADO
Raiane de Barbosa,8,4.8,6.2,4.9,REPROVADO
Álvaro Portugal Trevisan,8,4.8,6.0,4.7,REPROVADO
Eric Carlos Moreno Isenneov de Ortiz Júnior,8,4.8,5.9,4.5,REPROVADO
Gabriela Patrícia de Drummond Ruriko,8,4.8,5.8,6.3,REPROVADO
Saulo de Albuquerque Glunymime,8,4.8,5.7,6.3,REPROVADO
Roberval Bahia Gasamua,8,4.8,5.7,4.9,REPROVADO
Adriana Uenson Pigote,8,4.8,5.3,5.1,REPROVADO
Bianca Xilena dos Santos Makuseji,8,4.8,5.2,0.0,REPROVADO
Simão Vejyz Uueni,8,4.8,5.0,5.1,REPROVADO
Luciana Oiov de Assis dos Santos,8,4.8,4.6,5.6,REPROVADO
Tábata Teresa de Sá,8,4.8,4.4,6.3,REPROVADO
Damião Rodolfo Ohumtu de Álvares Nazo,8,4.7,6.0,5.2,REPROVADO
Margarida Obason de Noronha,8,4.7,5.5,5.8,REPROVADO
Celina Shoe,8,4.7,5.5,5.6,REPROVADO
Omar Gilmar de Barbosa da Silva,8,4.7,5.4,4.9,REPROVADO
Willian Álvaro da Silva Uzucy,8,4.7,5.2,5.2,REPROVADO
Meire do Amazonas de Angola,8,4.7,4.8,5.2,REPROVADO
Bernardo de Toledo Ydeidiner,8,4.7,4.5,5.3,REPROVADO
Márcia Olívia de Pereira Terceiro,8,4.7,4.3,5.5,REPROVADO
Simone de Macedo,8,4.7,4.2,0.0,REPROVADO
Daniela Gomes,7,7.8,7.9,9.3,APROVADO
Nicolas Gomes de Antunes,7,7.6,7.8,8.2,APROVADO
Alessandra da Silva,7,7.5,7.8,6.4,APROVADO
Jair Martinho de Oliveira Sanches,7,7.5,7.2,7.8,APROVADO
Manuela Graziele de Abreu da Gama,7,7.5,6.7,6.0,APROVADO
Aline Maciel de Menezes,7,7.4,8.2,9.2,APROVADO
Selma Vânia de Gusmões,7,7.4,7.8,7.0,APROVADO
Artur Tomáz de Castro Gomes Meblern,7,7.4,7.7,7.0,APROVADO
Andressa Tatiane Olomson Yaa,7,7.4,7.4,7.8,APROVADO
Walderice Laigonã,7,7.4,7.0,7.4,APROVADO
Lúcia Daniela de Antunes,7,7.2,7.7,6.2,APROVADO
Adrielle Mayra Fortes de Alvim,7,7.2,7.6,7.5,APROVADO
Vitor Marcelo de Souza Neto,7,7.2,7.3,7.0,APROVADO
Érica Monique Preto,7,7.2,7.2,8.0,APROVADO
Arlete Ariel Odimprovarn do Prado,7,7.2,7.2,7.1,APROVADO
Edivaldo Júlio Iylnison de Britto,7,7.2,7.0,8.3,APROVADO
Cecília Rosilda Mineiro da Conceição,7,7.2,7.0,6.9,APROVADO
Zara Laís Torres,7,7.2,6.6,6.8,APROVADO
Catarina d'Ávila,7,7.2,6.5,6.9,APROVADO
Marciano Fortes,7,7.1,7.6,7.0,APROVADO
Jandira do Nascimento,7,7.1,7.4,6.4,APROVADO
Benedito Altair Phesornman Terceiro,7,7.1,7.2,7.3,APROVADO
Alberto de Souza Ipinaeov,7,7.1,7.0,7.1,APROVADO
Micael de Chaves,7,7.1,6.9,7.5,APROVADO
Sebastião de Almeida,7,7.1,6.7,6.2,APROVADO
Vívian Ribeiro,7,7.1,6.2,6.9,APROVADO
Josiel Jonathan de Lima,7,6.9,7.5,6.7,APROVADO
Lisa Karin da Silva,7,6.9,7.2,8.1,APROVADO
Hélio Ezier Júnior,7,6.9,6.8,6.6,APROVADO
Arlete da Silva Ilglean Ecoman,7,6.9,6.8,6.6,APROVADO
Marta Góis,7,6.8,7.5,7.6,APROVADO
Susan Seixas,7,6.8,7.2,6.3,APROVADO
Ricardo Coutinho,7,6.8,7.1,6.0,APROVADO
Aparecida de Madureira,7,6.8,7.0,7.0,APROVADO
Zuleide Paula de Barbosa da Silva,7,6.8,6.8,6.8,APROVADO
Mel Cecília Ximenes de Souza Guedes,7,6.8,6.8,6.6,APROVADO
Sandra Azros da Cunha,7,6.8,6.7,6.2,APROVADO
Jean da Silva de Queiroz,7,6.8,6.4,6.8,APROVADO
Lena Celeste dos Santos,7,6.8,6.3,6.2,APROVADO
Suellen Celeste de Brandão Ifoungre,7,6.8,6.0,7.8,APROVADO
Lino Fagner de Godoy,7,6.7,6.9,7.6,APROVADO
Samanta Jusce,7,6.7,6.9,7.6,APROVADO
Arthur Frias Júnior,7,6.7,6.2,6.9,APROVADO
Demilson Marco Isui,7,6.6,7.2,6.1,APROVADO
Wilma Gisele de Mello,7,6.6,7.0,7.1,APROVADO
Mayara Berenice Gomes,7,6.6,6.8,6.9,APROVADO
Eliomar Fontes,7,6.6,6.7,6.8,APROVADO
Bóris Rosatto,7,6.6,6.6,7.9,APROVADO
Quênia Acrem da Silva,7,6.6,6.6,6.2,APROVADO
Joel de Souza Júnior,7,6.5,6.9,6.1,APROVADO
Sérgio Samuel Fuo,7,6.5,6.7,6.9,APROVADO
David José da Silva,7,6.5,6.4,7.3,APROVADO
Wally Nigei Rileciomão,7,6.5,6.4,6.2,APROVADO
Margarete Tezegime Zochi de Gimenes,7,6.5,6.4,6.0,APROVADO
Dante Ali dos Santos Klein,7,6.4,6.8,8.2,APROVADO
Isaías de Miranda da Mata,7,6.4,6.6,6.2,APROVADO
Mariana Luara de Holanda Valverde do Rio,7,6.4,6.5,7.3,APROVADO
Romildo da Silva Rosatto Borba,7,6.4,6.5,6.2,APROVADO
Ederson Simão Iyan,7,6.4,6.0,6.4,APROVADO
Selma Zufason,7,6.3,6.6,6.9,APROVADO
Fátima Roseli Dezrobas de Andrade,7,6.3,6.4,6.9,APROVADO
Benjamin de Novais,7,6.3,6.2,6.2,APROVADO
Batista de Palhares da Silva Amrysov,7,6.2,7.2,6.7,APROVADO
Clarice Elisângela Anesofu de Trindade,7,6.2,6.7,6.9,APROVADO
Max Willian Ximenes Rossi,7,6.2,6.4,6.0,APROVADO
Suely de Souza,7,6.2,6.0,6.2,APROVADO
Marciane Eces,7,6.1,7.3,6.2,APROVADO
Eloá Paula de Araújo,7,6.1,6.9,7.2,APROVADO
Evelyn Jéssica Iaman,7,6.1,6.7,6.2,APROVADO
Bella Sônia Dias Gutemuga,7,6.1,6.5,7.5,APROVADO
Otto de Alvim,7,6.0,6.6,6.2,APROVADO
Sandra Diacol,7,6.0,6.5,7.3,APROVADO
Hildebrando de Meireles,7,6.0,6.5,7.2,APROVADO
Xavier Marco da Gama de Miranda Evupuceson,7,6.0,6.4,6.3,APROVADO
Toninho Aldo de Morais Ackeman,7,6.0,6.1,7.0,APROVADO
Armando David Fyrnjolol,7,6.0,6.0,6.1,APROVADO
Aloísio Valverde,7,6.9,7.2,0.0,REPROVADO
Cristina Ivone Amovreov da Silva de Lins,7,6.9,6.7,5.0,REPROVADO
Ângela Bete de Garcia Ezfa,7,6.9,6.5,5.4,REPROVADO
Edson Álvaro Gasavuoão de Santana,7,6.9,6.4,4.8,REPROVADO
Rosimeire da Silva Letoncase,7,6.9,5.9,7.9,REPROVADO
Elano Ederson Mekohe Etavic Júnior,7,6.9,5.9,5.5,REPROVADO
Adílson Frederico Rodrigues,7,6.9,5.7,4.9,REPROVADO
Lígia dos Santos,7,6.9,5.6,6.1,REPROVADO
Vinícius de Arruda Shuzpe,7,6.9,5.2,6.0,REPROVADO
Eloá Remil,7,6.8,7.7,5.8,REPROVADO
Jair Raí Efiuz,7,6.8,7.3,5.9,REPROVADO
Gilmar da Silva de Assis Freire,7,6.8,6.9,5.8,REPROVADO
Leila Fátima Gannases,7,6.8,6.8,0.0,REPROVADO
Celina Elizabete de Vargas Jimi,7,6.8,6.4,5.3,REPROVADO
Táles Rodrigues Júnior,7,6.8,6.3,5.0,REPROVADO
Laerte Cadeov de Monteiro,7,6.8,6.1,5.5,REPROVADO
Jéssica Valdirene Fegeivic,7,6.8,5.9,5.6,REPROVADO
Áureo Omar de Oliveira,7,6.8,5.7,6.5,REPROVADO
Andressa de Bragança,7,6.7,7.4,5.5,REPROVADO
Dina Léia de Paiva Valverde,7,6.7,7.3,5.7,REPROVADO
Marielle da Encarnação,7,6.7,7.3,5.2,REPROVADO
Vitória Marcela de Matos,7,6.7,7.2,4.8,REPROVADO
Otto Manoel Numorno da Silva,7,6.7,7.1,4.6,REPROVADO
Monique Naves Weber,7,6.7,6.8,5.6,REPROVADO
Eva Rosângela Nitaeman de Cerqueira,7,6.7,6.6,5.4,REPROVADO
Clara Amra,7,6.7,6.6,4.5,REPROVADO
Kevin Tiago de Teixeira da Luz,7,6.7,6.5,5.5,REPROVADO
Natália Anne da Silva,7,6.7,6.5,5.3,REPROVADO
Elisângela do Nascimento Vaez de Malta,7,6.7,6.5,5.0,REPROVADO
Jaqueline de Junqueira,7,6.7,6.3,5.2,REPROVADO
Zulmira Camila de Souza Gomes Cligaspolã,7,6.7,5.6,6.4,REPROVADO
Patrícia de Matos dos Santos,7,6.6,7.0,5.6,REPROVADO
Lara Rarawose,7,6.6,6.9,5.1,REPROVADO
Christie dos Santos da Silva de Souza,7,6.6,6.8,4.7,REPROVADO
Everton Tomáz Onai,7,6.6,6.7,4.8,REPROVADO
Ederson Kim Seyayo Terceiro,7,6.6,6.6,5.7,REPROVADO
Luiza Marina Eoão Vaz,7,6.6,6.6,4.6,REPROVADO
Ezequiel Isac de Pascoal,7,6.6,6.5,5.5,REPROVADO
Larissa Priscila de Salgado Mebe,7,6.6,6.5,5.1,REPROVADO
Arnaldo Wesley Min Júnior,7,6.6,6.4,5.6,REPROVADO
Bruno Alex Nopa,7,6.6,6.3,5.0,REPROVADO
Uribe Saulo Sobregeov,7,6.6,6.2,5.4,REPROVADO
Joelma Jini,7,6.6,6.2,5.3,REPROVADO
Viviane Lena de Pereira do Prado,7,6.6,6.2,5.2,REPROVADO
Flávia Souto de Souza,7,6.6,6.2,5.1,REPROVADO
Joel Aldo de Sales,7,6.6,6.0,5.5,REPROVADO
Suzana Umdimison,7,6.6,6.0,5.4,REPROVADO
Gigi Souto,7,6.6,6.0,5.1,REPROVADO
Juliano de Oliveira do Vale Gomes,7,6.6,6.0,4.6,REPROVADO
Samuel Zuimfeu de Medeiros,7,6.6,5.9,6.9,REPROVADO
Ivanete da Silva de Jesus,7,6.6,5.9,5.4,REPROVADO
Priscila Ísis Koaroa,7,6.6,5.4,5.5,REPROVADO
Simone da Silva,7,6.6,5.4,5.0,REPROVADO
Severino Duque Cefrauan,7,6.6,5.3,6.1,REPROVADO
Marcelo do Paraná,7,6.6,5.2,5.3,REPROVADO
César Bóris de Cabral Tsushipeko,7,6.6,5.2,4.6,REPROVADO
Verônica Risiol,7,6.6,5.1,6.4,REPROVADO
Milene Ísis de Alcântara,7,6.6,5.0,5.4,REPROVADO
Ramon Helder de Souza Doim,7,6.6,4.6,0.0,REPROVADO
Giovanni Elano Ogoer,7,5.9,6.5,4.6,REPROVADO
Robson de Paiva dos Santos,7,5.9,6.5,4.6,REPROVADO
Romildo Juliano de São Pedro Tozu Omma,7,5.9,6.4,4.9,REPROVADO
Davi Fagner Unazom,7,5.9,6.3,4.7,REPROVADO
Valquíria de Figueira Burese,7,5.9,6.2,4.5,REPROVADO
Giovanni Anileson de Rezende Enbey,7,5.9,6.0,4.9,REPROVADO
Lara Rosângela Quila de Cabral,7,5.9,5.8,5.5,REPROVADO
Adriano Bóris de Sales Ntsu,7,5.9,5.7,6.5,REPROVADO
Jeniffer Suzanne da Cruz,7,5.9,5.6,6.9,REPROVADO
Leila de Moreira Uzbrivic,7,5.9,5.6,0.0,REPROVADO
Francisco Repetepo Gomes,7,5.9,5.4,5.3,REPROVADO
Ivanete dos Santos Gutierrez,7,5.9,5.4,5.1,REPROVADO
Kátia Ewa,7,5.9,5.3,5.7,REPROVADO
Luciana Graziele do Amaral Viloner de Souza,7,5.9,5.3,4.8,REPROVADO
Ali de Menezes dos Santos,7,5.9,5.1,5.0,REPROVADO
Jussara Jeniffer Pami Majesoevic Iysoznuman,7,5.9,5.0,5.4,REPROVADO
Cecília Honita Osevic,7,5.9,4.9,4.8,REPROVADO
Rodrigo de Cardozo,7,5.9,4.6,0.0,REPROVADO
Suellen Alana de Souza da Costa,7,5.9,4.5,5.4,REPROVADO
